Fråga,Frågetyp,Nivå,Svar,Miniräknare tillåten
Avrunda $27 400$ till tusental. Svar: {{input}},numeric_input,1,27000,Nej
Avrunda $34 600$ till tusental. Svar: {{input}},numeric_input,1,35000,Nej
Avrunda $12 400$ till tusental. Svar: {{input}},numeric_input,1,12000,Nej
Avrunda $8 500$ till tusental. Svar: {{input}},numeric_input,1,9000,Nej
Avrunda $41 200$ till tusental. Svar: {{input}},numeric_input,1,41000,Nej
Avrunda $76 800$ till tusental. Svar: {{input}},numeric_input,1,77000,Nej
Avrunda $19 500$ till tusental. Svar: {{input}},numeric_input,1,20000,Nej
Avrunda $63 300$ till tusental. Svar: {{input}},numeric_input,1,63000,Nej
Avrunda $2 700$ till tusental. Svar: {{input}},numeric_input,1,3000,Nej
Avrunda $95 100$ till tusental. Svar: {{input}},numeric_input,1,95000,Nej
Avrunda $146$ till hundratal. Svar: {{input}},numeric_input,1,100,Nej
Avrunda $278$ till hundratal. Svar: {{input}},numeric_input,1,300,Nej
Avrunda $650$ till hundratal. Svar: {{input}},numeric_input,1,700,Nej
Avrunda $1 249$ till hundratal. Svar: {{input}},numeric_input,1,1200,Nej
Avrunda $3 751$ till hundratal. Svar: {{input}},numeric_input,1,3800,Nej
Avrunda $4 050$ till hundratal. Svar: {{input}},numeric_input,1,4100,Nej
Avrunda $920$ till hundratal. Svar: {{input}},numeric_input,1,900,Nej
Avrunda $5 499$ till hundratal. Svar: {{input}},numeric_input,1,5500,Nej
Avrunda $1 550$ till hundratal. Svar: {{input}},numeric_input,1,1600,Nej
Avrunda $87$ till hundratal. Svar: {{input}},numeric_input,1,100,Nej
Avrunda $43$ till tiotal. Svar: {{input}},numeric_input,1,40,Nej
Avrunda $68$ till tiotal. Svar: {{input}},numeric_input,1,70,Nej
Avrunda $125$ till tiotal. Svar: {{input}},numeric_input,1,130,Nej
Avrunda $391$ till tiotal. Svar: {{input}},numeric_input,1,390,Nej
Avrunda $706$ till tiotal. Svar: {{input}},numeric_input,1,710,Nej
Avrunda $1 054$ till tiotal. Svar: {{input}},numeric_input,1,1050,Nej
Avrunda $2 895$ till tiotal. Svar: {{input}},numeric_input,1,2900,Nej
Avrunda $999$ till tiotal. Svar: {{input}},numeric_input,1,1000,Nej
Avrunda $342$ till tiotal. Svar: {{input}},numeric_input,1,340,Nej
Avrunda $1 675$ till tiotal. Svar: {{input}},numeric_input,1,1680,Nej
"Avrunda $0,123$ till hundradelar. Svar: {{input}}",numeric_input,1,"0,12",Nej
"Avrunda $0,278$ till hundradelar. Svar: {{input}}",numeric_input,1,"0,28",Nej
"Avrunda $1,456$ till hundradelar. Svar: {{input}}",numeric_input,1,"1,46",Nej
"Avrunda $2,341$ till hundradelar. Svar: {{input}}",numeric_input,1,"2,34",Nej
"Avrunda $5,995$ till hundradelar. Svar: {{input}}",numeric_input,1,"6,00",Nej
"Avrunda $7,205$ till hundradelar. Svar: {{input}}",numeric_input,1,"7,21",Nej
"Avrunda $0,864$ till hundradelar. Svar: {{input}}",numeric_input,1,"0,86",Nej
"Avrunda $12,499$ till hundradelar. Svar: {{input}}",numeric_input,1,"12,50",Nej
"Avrunda $3,150$ till hundradelar. Svar: {{input}}",numeric_input,1,"3,15",Nej
"Avrunda $9,876$ till hundradelar. Svar: {{input}}",numeric_input,1,"9,88",Nej
"Avrunda $0,34$ till tiondelar. Svar: {{input}}",numeric_input,1,"0,3",Nej
"Avrunda $0,68$ till tiondelar. Svar: {{input}}",numeric_input,1,"0,7",Nej
"Avrunda $1,25$ till tiondelar. Svar: {{input}}",numeric_input,1,"1,3",Nej
"Avrunda $2,04$ till tiondelar. Svar: {{input}}",numeric_input,1,"2,0",Nej
"Avrunda $4,96$ till tiondelar. Svar: {{input}}",numeric_input,1,"5,0",Nej
"Avrunda $7,51$ till tiondelar. Svar: {{input}}",numeric_input,1,"7,5",Nej
"Avrunda $10,75$ till tiondelar. Svar: {{input}}",numeric_input,1,"10,8",Nej
"Avrunda $15,14$ till tiondelar. Svar: {{input}}",numeric_input,1,"15,1",Nej
"Avrunda $23,88$ till tiondelar. Svar: {{input}}",numeric_input,1,"23,9",Nej
"Avrunda $99,95$ till tiondelar. Svar: {{input}}",numeric_input,1,"100,0",Nej
"Avrunda $6,47$ till en decimal. Svar: {{input}}",numeric_input,1,"6,5",Nej
"Avrunda $12,34$ till en decimal. Svar: {{input}}",numeric_input,1,"12,3",Nej
"Avrunda $0,85$ till en decimal. Svar: {{input}}",numeric_input,1,"0,9",Nej
"Avrunda $23,05$ till en decimal. Svar: {{input}}",numeric_input,1,"23,1",Nej
"Avrunda $9,99$ till en decimal. Svar: {{input}}",numeric_input,1,"10,0",Nej
"Avrunda $4,276$ till två decimaler. Svar: {{input}}",numeric_input,1,"4,28",Nej
"Avrunda $0,341$ till två decimaler. Svar: {{input}}",numeric_input,1,"0,34",Nej
"Avrunda $8,995$ till två decimaler. Svar: {{input}}",numeric_input,1,"9,00",Nej
"Avrunda $15,105$ till två decimaler. Svar: {{input}}",numeric_input,1,"15,11",Nej
"Avrunda $2,750$ till två decimaler. Svar: {{input}}",numeric_input,1,"2,75",Nej
"Avrunda $3,64$ till en decimal. Svar: {{input}}",numeric_input,1,"3,6",Nej
"Avrunda $7,86$ till en decimal. Svar: {{input}}",numeric_input,1,"7,9",Nej
"Avrunda $14,45$ till en decimal. Svar: {{input}}",numeric_input,1,"14,5",Nej
"Avrunda $0,16$ till en decimal. Svar: {{input}}",numeric_input,1,"0,2",Nej
"Avrunda $25,02$ till en decimal. Svar: {{input}}",numeric_input,1,"25,0",Nej
"Avrunda $18,78$ till en decimal. Svar: {{input}}",numeric_input,1,"18,8",Nej
"Avrunda $2,51$ till en decimal. Svar: {{input}}",numeric_input,1,"2,5",Nej
"Avrunda $40,66$ till en decimal. Svar: {{input}}",numeric_input,1,"40,7",Nej
"Avrunda $0,94$ till en decimal. Svar: {{input}}",numeric_input,1,"0,9",Nej
"Avrunda $11,15$ till en decimal. Svar: {{input}}",numeric_input,1,"11,2",Nej
"Avrunda $6,04$ till en decimal. Svar: {{input}}",numeric_input,1,"6,0",Nej
"Avrunda $32,39$ till en decimal. Svar: {{input}}",numeric_input,1,"32,4",Nej
"Avrunda $0,55$ till en decimal. Svar: {{input}}",numeric_input,1,"0,6",Nej
"Avrunda $19,97$ till en decimal. Svar: {{input}}",numeric_input,1,"20,0",Nej
"Avrunda $45,23$ till en decimal. Svar: {{input}}",numeric_input,1,"45,2",Nej
"Avrunda $3,141$ till två decimaler. Svar: {{input}}",numeric_input,1,"3,14",Nej
"Avrunda $6,789$ till två decimaler. Svar: {{input}}",numeric_input,1,"6,79",Nej
"Avrunda $0,675$ till två decimaler. Svar: {{input}}",numeric_input,1,"0,68",Nej
"Avrunda $14,232$ till två decimaler. Svar: {{input}}",numeric_input,1,"14,23",Nej
"Avrunda $9,999$ till två decimaler. Svar: {{input}}",numeric_input,1,"10,00",Nej
"Avrunda $21,056$ till två decimaler. Svar: {{input}}",numeric_input,1,"21,06",Nej
"Avrunda $0,124$ till två decimaler. Svar: {{input}}",numeric_input,1,"0,12",Nej
"Avrunda $5,555$ till två decimaler. Svar: {{input}}",numeric_input,1,"5,56",Nej
"Avrunda $17,801$ till två decimaler. Svar: {{input}}",numeric_input,1,"17,80",Nej
"Avrunda $2,345$ till två decimaler. Svar: {{input}}",numeric_input,1,"2,35",Nej
"Avrunda $30,494$ till två decimaler. Svar: {{input}}",numeric_input,1,"30,49",Nej
"Avrunda $0,905$ till två decimaler. Svar: {{input}}",numeric_input,1,"0,91",Nej
"Avrunda $12,999$ till två decimaler. Svar: {{input}}",numeric_input,1,"13,00",Nej
"Avrunda $7,070$ till två decimaler. Svar: {{input}}",numeric_input,1,"7,07",Nej
"Avrunda $99,445$ till två decimaler. Svar: {{input}}",numeric_input,1,"99,45",Nej
