Fråga,Frågetyp,Nivå,Svar,Miniräknare tillåten
$3x - 5 = 1x - 3$,equation,1,1,Nej
$4x - 4 = 4$,equation,1,2,Nej
$5x = 3x + 6$,equation,1,3,Nej
$6x - 2 = 1x + 18$,equation,1,4,Nej
$3x - 1 = 14$,equation,1,5,Nej
$4x = 3x + 6$,equation,1,6,Nej
$5x + 1 = 1x + 29$,equation,1,7,Nej
$6x + 2 = 50$,equation,1,8,Nej
$3x = 3x + 0$,equation,1,9,Nej
$4x + 4 = 1x + 34$,equation,1,10,Nej
$5x + 5 = 10$,equation,1,1,Nej
$6x = 3x + 6$,equation,1,2,Nej
$3x - 4 = 1x + 2$,equation,1,3,Nej
$4x - 3 = 13$,equation,1,4,Nej
$5x = 3x + 10$,equation,1,5,Nej
$6x - 1 = 1x + 29$,equation,1,6,Nej
$3x + 0 = 21$,equation,1,7,Nej
$4x = 3x + 8$,equation,1,8,Nej
$5x + 2 = 1x + 38$,equation,1,9,Nej
$6x + 3 = 63$,equation,1,10,Nej
$3x = 3x + 0$,equation,1,1,Nej
$4x + 5 = 1x + 11$,equation,1,2,Nej
$5x - 5 = 10$,equation,1,3,Nej
$6x = 3x + 12$,equation,1,4,Nej
$3x - 3 = 1x + 7$,equation,1,5,Nej
$4x - 2 = 22$,equation,1,6,Nej
$5x = 3x + 14$,equation,1,7,Nej
$6x + 0 = 1x + 40$,equation,1,8,Nej
$3x + 1 = 28$,equation,1,9,Nej
$4x = 3x + 10$,equation,1,10,Nej
$5x + 3 = 1x + 7$,equation,1,1,Nej
$6x + 4 = 16$,equation,1,2,Nej
$3x = 3x + 0$,equation,1,3,Nej
$4x - 5 = 1x + 7$,equation,1,4,Nej
$5x - 4 = 21$,equation,1,5,Nej
$6x = 3x + 18$,equation,1,6,Nej
$3x - 2 = 1x + 12$,equation,1,7,Nej
$4x - 1 = 31$,equation,1,8,Nej
$5x = 3x + 18$,equation,1,9,Nej
$6x + 1 = 1x + 51$,equation,1,10,Nej
$3x + 2 = 5$,equation,1,1,Nej
$4x = 3x + 2$,equation,1,2,Nej
$5x + 4 = 1x + 16$,equation,1,3,Nej
$6x + 5 = 29$,equation,1,4,Nej
$3x = 3x + 0$,equation,1,5,Nej
$4x - 4 = 1x + 14$,equation,1,6,Nej
$5x - 3 = 32$,equation,1,7,Nej
$6x = 3x + 24$,equation,1,8,Nej
$3x - 1 = 1x + 17$,equation,1,9,Nej
$4x + 0 = 40$,equation,1,10,Nej
$\frac{2x}{3} - 4 = \frac{-32}{3}$,equation,2,-10,Nej
$4x + 4x + 36 = 0$,equation,2,"-4,5",Nej
$\frac{x}{2} - 1 = \frac{-10}{2}$,equation,2,-8,Nej
$3(x + 0) = \frac{-21}{2}$,equation,2,"-3,5",Nej
$\frac{2x}{3} + 0 = \frac{-12}{3}$,equation,2,-6,Nej
$4x + 4x + 20 = 0$,equation,2,"-2,5",Nej
$\frac{x}{2} + 3 = \frac{2}{2}$,equation,2,-4,Nej
$3(x - 3) = \frac{-27}{2}$,equation,2,"-1,5",Nej
$\frac{2x}{3} + 4 = \frac{8}{3}$,equation,2,-2,Nej
$4x + 4x + 4 = 0$,equation,2,"-0,5",Nej
$\frac{x}{2} + 0 = \frac{0}{2}$,equation,2,0,Nej
