Fråga,Frågetyp,Nivå,Svar,Miniräknare tillåten
Lös ekvationen $2x + 2(x - 4) + 32 = x - 6$.,equation,1,-10,Nej
Lös ekvationen $3x + 3(2x - 2) + 66 = 2x - 3$.,equation,1,-9,Nej
Lös ekvationen $4x + 4(3x) + 104 = 3x$.,equation,1,-8,Nej
Lös ekvationen $5x + 5(x + 2) + 35 = 4x + 3$.,equation,1,-7,Nej
Lös ekvationen $6x + 6(2x + 4) + 84 = x + 6$.,equation,1,-6,Nej
Lös ekvationen $2x + 2(3x - 3) + 32 = 2x - 4$.,equation,1,-5,Nej
Lös ekvationen $3x + 3(x - 1) + 14 = 3x - 1$.,equation,1,-4,Nej
Lös ekvationen $4x + 4(2x + 1) + 22 = 4x + 2$.,equation,1,-3,Nej
Lös ekvationen $5x + 5(3x + 3) + 28 = x + 5$.,equation,1,-2,Nej
Lös ekvationen $6x + 6(x - 4) + 29 = 2x - 5$.,equation,1,-1,Nej
Lös ekvationen $2x + 2(2x - 2) + 2 = 3x - 2$.,equation,1,0,Nej
Lös ekvationen $3x + 3(3x) - 7 = 4x + 1$.,equation,1,1,Nej
Lös ekvationen $4x + 4(x + 2) - 18 = x + 4$.,equation,1,2,Nej
Lös ekvationen $5x + 5(2x + 4) - 65 = 2x - 6$.,equation,1,3,Nej
Lös ekvationen $6x + 6(3x - 3) - 69 = 3x - 3$.,equation,1,4,Nej
Lös ekvationen $2x + 2(x - 1) + 7 = 5x$.,equation,1,5,Nej
Lös ekvationen $3x + 3(2x + 1) - 48 = x + 3$.,equation,1,6,Nej
Lös ekvationen $4x + 4(3x + 3) - 104 = 2x + 6$.,equation,1,7,Nej
Lös ekvationen $5x + 5(x - 4) - 40 = 3x - 4$.,equation,1,8,Nej
Lös ekvationen $6x + 6(2x - 2) - 115 = 4x - 1$.,equation,1,9,Nej
Lös ekvationen $2x + 2(3x) - 68 = x + 2$.,equation,1,10,Nej
Lös ekvationen $3x + 3(x + 2) + 39 = 2x + 5$.,equation,1,-10,Nej
Lös ekvationen $4x + 4(2x + 4) + 60 = 3x - 5$.,equation,1,-9,Nej
Lös ekvationen $5x + 5(3x - 3) + 141 = 4x - 2$.,equation,1,-8,Nej
Lös ekvationen $6x + 6(x - 1) + 84 = x + 1$.,equation,1,-7,Nej
Lös ekvationen $x + 1(x - 4) + \frac{29}{4} = \frac{-1}{2}x - 8$.,equation,2,"-4,5",Nej
Lös ekvationen $2x + 3(2x - 2) + 38 = -2x - 3$.,equation,2,"-3,5",Nej
Lös ekvationen $3x + 4(3x) + 47 = -3x + 2$.,equation,2,"-2,5",Nej
Lös ekvationen $x + \frac{5}{2}(x + 2) + \frac{53}{4} = -4x + 7$.,equation,2,"-1,5",Nej
Lös ekvationen $2x + 2(2x + 4) - \frac{35}{4} = \frac{-5}{2}x - 5$.,equation,2,"-0,5",Nej
Lös ekvationen $3x + 3(3x - 3) + \frac{5}{2} = -x$.,equation,2,"0,5",Nej
Lös ekvationen $x + 2(x - 1) - \frac{1}{2} = -2x + 5$.,equation,2,"1,5",Nej
Lös ekvationen $2x + 5(2x + 1) - \frac{99}{2} = -3x - 7$.,equation,2,"2,5",Nej
Lös ekvationen $3x + 2(3x + 3) - \frac{93}{2} = -2x - 2$.,equation,2,"3,5",Nej
Lös ekvationen $x + \frac{3}{2}(x - 4) - \frac{99}{4} = -5x + 3$.,equation,2,"4,5",Nej
Lös ekvationen $2x + 4(2x - 2) - \frac{89}{2} = -x + 8$.,equation,2,"5,5",Nej
Lös ekvationen $3x + 5(3x) - 134 = -2x - 4$.,equation,2,"6,5",Nej
Lös ekvationen $x + 1(x + 2) - \frac{109}{4} = \frac{-3}{2}x + 1$.,equation,2,"7,5",Nej
Lös ekvationen $2x + 3(2x + 4) + 48 = -4x + 6$.,equation,2,"-4,5",Nej
Lös ekvationen $3x + 4(3x - 3) + 76 = -5x - 6$.,equation,2,"-3,5",Nej
Lös ekvationen $x + \frac{5}{2}(x - 1) + \frac{51}{4} = -x - 1$.,equation,2,"-2,5",Nej
Lös ekvationen $2x + 2(2x + 1) + \frac{25}{2} = -x + 4$.,equation,2,"-1,5",Nej
Lös ekvationen $3x + 3(3x + 3) - \frac{19}{2} = -3x - 8$.,equation,2,"-0,5",Nej
Lös ekvationen $x + 2(x - 4) + \frac{3}{2} = -4x - 3$.,equation,2,"0,5",Nej
Lös ekvationen $2x + 5(2x - 2) - \frac{27}{2} = -5x + 2$.,equation,2,"1,5",Nej
Lös ekvationen $3x + 2(3x) - \frac{67}{4} = \frac{-1}{2}x + 7$.,equation,2,"2,5",Nej
Lös ekvationen $x + \frac{3}{2}(x + 2) - \frac{95}{4} = -2x - 5$.,equation,2,"3,5",Nej
Lös ekvationen $2x + 4(2x + 4) - \frac{149}{2} = -3x$.,equation,2,"4,5",Nej
Lös ekvationen $3x + 5(3x - 3) - 101 = -4x + 5$.,equation,2,"5,5",Nej
Lös ekvationen $x + 1(x - 1) - \frac{141}{4} = \frac{-5}{2}x - 7$.,equation,2,"6,5",Nej
