Fråga,Frågetyp,Nivå,Svar,Miniräknare tillåten
Lös ekvationen $2x - 7 = x - 17$.,equation,1,-10,Nej
Lös ekvationen $3x - 4 = -x - 40$.,equation,1,-9,Nej
Lös ekvationen $4x - 1 = x - 25$.,equation,1,-8,Nej
Lös ekvationen $5x + 2 = -x - 40$.,equation,1,-7,Nej
Lös ekvationen $6x + 5 = x - 25$.,equation,1,-6,Nej
Lös ekvationen $2x - 7 = -x - 22$.,equation,1,-5,Nej
Lös ekvationen $3x - 4 = x - 12$.,equation,1,-4,Nej
Lös ekvationen $4x - 1 = -x - 16$.,equation,1,-3,Nej
Lös ekvationen $5x + 2 = x - 6$.,equation,1,-2,Nej
Lös ekvationen $6x + 5 = -x - 2$.,equation,1,-1,Nej
Lös ekvationen $2x - 7 = x - 7$.,equation,1,0,Nej
Lös ekvationen $3x - 4 = -x + 0$.,equation,1,1,Nej
Lös ekvationen $4x - 1 = x + 5$.,equation,1,2,Nej
Lös ekvationen $5x + 2 = -x + 20$.,equation,1,3,Nej
Lös ekvationen $6x + 5 = x + 25$.,equation,1,4,Nej
Lös ekvationen $2x - 7 = -x + 8$.,equation,1,5,Nej
Lös ekvationen $3x - 4 = x + 8$.,equation,1,6,Nej
Lös ekvationen $4x - 1 = -x + 34$.,equation,1,7,Nej
Lös ekvationen $5x + 2 = x + 34$.,equation,1,8,Nej
Lös ekvationen $6x + 5 = -x + 68$.,equation,1,9,Nej
Lös ekvationen $2x - 7 = x + 3$.,equation,1,10,Nej
Lös ekvationen $3x - 4 = -x + 40$.,equation,1,11,Nej
Lös ekvationen $4x - 1 = x + 35$.,equation,1,12,Nej
Lös ekvationen $5x + 2 = -x + 80$.,equation,1,13,Nej
Lös ekvationen $6x + 5 = x + 75$.,equation,1,14,Nej
Lös ekvationen $\frac{1}{2}(x - 4) - \frac{17}{2} = x - 8$.,equation,2,-5,Nej
Lös ekvationen $2(2x - 2) + 43 = -2x - 3$.,equation,2,-7,Nej
Lös ekvationen $3(3x + 0) + 32 = 3x + 2$.,equation,2,-5,Nej
Lös ekvationen $4(x + 2) + 11 = -4x + 7$.,equation,2,"-1,5",Nej
Lös ekvationen $1(2x + 4) - \frac{19}{2} = \frac{5}{2}x - 5$.,equation,2,-1,Nej
Lös ekvationen $1(3x - 3) + 3 = -x + 0$.,equation,2,0,Nej
Lös ekvationen $3(x - 1) + \frac{15}{2} = 2x + 5$.,equation,2,"0,5",Nej
Lös ekvationen $4(2x + 1) - 44 = -3x - 7$.,equation,2,3,Nej
Lös ekvationen $1(3x + 3) - 10 = 2x - 2$.,equation,2,5,Nej
Lös ekvationen $2(x - 4) - \frac{27}{2} = -5x + 3$.,equation,2,"3,5",Nej
Lös ekvationen $\frac{3}{2}(2x - 2) - 7 = x + 8$.,equation,2,9,Nej
Lös ekvationen $4(3x + 0) - 158 = -2x - 4$.,equation,2,11,Nej
Lös ekvationen $1(x + 2) + \frac{9}{4} = \frac{3}{2}x + 1$.,equation,2,"6,5",Nej
Lös ekvationen $2(2x + 4) - 122 = -4x + 6$.,equation,2,15,Nej
Lös ekvationen $3(3x - 3) - 65 = 5x - 6$.,equation,2,17,Nej
Lös ekvationen $2(x - 1) - \frac{55}{2} = -x - 1$.,equation,2,"9,5",Nej
Lös ekvationen $1(2x + 1) + 13 = x + 4$.,equation,2,-10,Nej
Lös ekvationen $2(3x + 3) + 49 = -3x - 8$.,equation,2,-7,Nej
Lös ekvationen $3(x - 4) + \frac{13}{2} = 4x - 3$.,equation,2,"-2,5",Nej
Lös ekvationen $4(2x - 2) + 49 = -5x + 2$.,equation,2,-3,Nej
Lös ekvationen $\frac{1}{2}(3x + 0) + 8 = \frac{1}{2}x + 7$.,equation,2,-1,Nej
Lös ekvationen $2(x + 2) - 9 = -2x - 5$.,equation,2,0,Nej
Lös ekvationen $3(2x + 4) - 15 = 3x + 0$.,equation,2,1,Nej
Lös ekvationen $4(3x - 3) - 31 = -4x + 5$.,equation,2,3,Nej
Lös ekvationen $1(x - 1) - \frac{9}{4} = \frac{5}{2}x - 7$.,equation,2,"2,5",Nej
Lös ekvationen $1(2x + 1) - 24 = -x - 2$.,equation,2,7,Nej
Lös ekvationen $3(3x + 3) - 69 = 2x + 3$.,equation,2,9,Nej
Lös ekvationen $4(x - 4) - \frac{29}{2} = -3x + 8$.,equation,2,"5,5",Nej
Lös ekvationen $1(2x - 2) + \frac{9}{2} = \frac{5}{2}x - 4$.,equation,2,13,Nej
Lös ekvationen $2(3x + 0) - 164 = -5x + 1$.,equation,2,15,Nej
Lös ekvationen $\frac{3}{2}(x + 2) - \frac{5}{4} = x + 6$.,equation,2,"8,5",Nej
Lös ekvationen $4(2x + 4) - 212 = -2x - 6$.,equation,2,19,Nej
Lös ekvationen $1(3x - 3) + 17 = \frac{3}{2}x - 1$.,equation,2,-10,Nej
Lös ekvationen $2(x - 1) + 27 = -4x + 4$.,equation,2,"-3,5",Nej
Lös ekvationen $3(2x + 1) - 6 = 5x - 8$.,equation,2,-5,Nej
