Fråga,Frågetyp,Nivå,Svar,Miniräknare tillåten
Förenkla: $2x + (3x + 4)$. Svar: {{input}},text,1,$5x + 4$,Nej
Förenkla: $5x - (2x + 3)$. Svar: {{input}},text,1,$3x - 3$,Nej
Förenkla: $4a + (-a + 2)$. Svar: {{input}},text,1,$3a + 2$,Nej
Förenkla: $3x - (-2x - 5)$. Svar: {{input}},text,1,$5x + 5$,Nej
Förenkla: $-2x + (6x - 3)$. Svar: {{input}},text,1,$4x - 3$,Nej
Förenkla: $7a - (4a + 2)$. Svar: {{input}},text,1,$3a - 2$,Nej
Förenkla: $5x + (-3x + 6)$. Svar: {{input}},text,1,$2x + 6$,Nej
Förenkla: $-4x - (2x - 3)$. Svar: {{input}},text,1,$-6x + 3$,Nej
Förenkla: $2a + (5a - 1)$. Svar: {{input}},text,1,$7a - 1$,Nej
Förenkla: $6x - (-3x + 4)$. Svar: {{input}},text,1,$9x - 4$,Nej
Förenkla: $-5x + (2x + 7)$. Svar: {{input}},text,1,$-3x + 7$,Nej
Förenkla: $4a - (a - 5)$. Svar: {{input}},text,1,$3a + 5$,Nej
Förenkla: $8x + (-6x + 3)$. Svar: {{input}},text,1,$2x + 3$,Nej
Förenkla: $2x - (5x + 3)$. Svar: {{input}},text,1,$-3x - 3$,Nej
Förenkla: $3a + (4a + 2)$. Svar: {{input}},text,1,$7a + 2$,Nej
Förenkla: $-2x - (-5x - 4)$. Svar: {{input}},text,1,$3x + 4$,Nej
Förenkla: $6x + (-x - 5)$. Svar: {{input}},text,1,$5x - 5$,Nej
Förenkla: $9a - (3a + 1)$. Svar: {{input}},text,1,$6a - 1$,Nej
Förenkla: $x + (2x + 8)$. Svar: {{input}},text,1,$3x + 8$,Nej
Förenkla: $-6x - (4x + 2)$. Svar: {{input}},text,1,$-10x - 2$,Nej
Förenkla: $5a + (3a - 4)$. Svar: {{input}},text,1,$8a - 4$,Nej
Förenkla: $7x - (-2x - 6)$. Svar: {{input}},text,1,$9x + 6$,Nej
Förenkla: $-3x + (9x + 1)$. Svar: {{input}},text,1,$6x + 1$,Nej
Förenkla: $2a - (-4a + 5)$. Svar: {{input}},text,1,$6a - 5$,Nej
Förenkla: $4x + (x - 6)$. Svar: {{input}},text,1,$5x - 6$,Nej
Förenkla: $2x + 3y + (4x + 5y)$. Svar: {{input}},text,2,$6x + 8y$,Nej
Förenkla: $6x + 2y - (3x + 4y)$. Svar: {{input}},text,2,$3x - 2y$,Nej
Förenkla: $-2a + 5b + (3a - 4b)$. Svar: {{input}},text,2,$a + b$,Nej
Förenkla: $4x - 3y - (-2x + 6y)$. Svar: {{input}},text,2,$6x - 9y$,Nej
Förenkla: $5x + y + (-3x + 2y)$. Svar: {{input}},text,2,$2x + 3y$,Nej
Förenkla: $7a + 4b - (2a - 5b)$. Svar: {{input}},text,2,$5a + 9b$,Nej
Förenkla: $3x - 6y + (8x + 2y)$. Svar: {{input}},text,2,$11x - 4y$,Nej
Förenkla: $-4x + 5y - (3x - 2y)$. Svar: {{input}},text,2,$-7x + 7y$,Nej
Förenkla: $6a + 2b + (-a + 4b)$. Svar: {{input}},text,2,$5a + 6b$,Nej
Förenkla: $9x - 2y - (4x + 3y)$. Svar: {{input}},text,2,$5x - 5y$,Nej
Förenkla: $x + 2y + (3x + 4y)$. Svar: {{input}},text,2,$4x + 6y$,Nej
Förenkla: $5a - 3b - (-2a + 6b)$. Svar: {{input}},text,2,$7a - 9b$,Nej
Förenkla: $-7x + 4y + (2x - 5y)$. Svar: {{input}},text,2,$-5x - y$,Nej
Förenkla: $3x + 8y - (-4x + 2y)$. Svar: {{input}},text,2,$7x + 6y$,Nej
Förenkla: $4a - b + (5a + 2b)$. Svar: {{input}},text,2,$9a + b$,Nej
Förenkla: $-6x + 3y - (2x - 4y)$. Svar: {{input}},text,2,$-8x + 7y$,Nej
Förenkla: $7x + 2y + (-3x + 4y)$. Svar: {{input}},text,2,$4x + 6y$,Nej
Förenkla: $2a + 5b - (-3a + b)$. Svar: {{input}},text,2,$5a + 4b$,Nej
Förenkla: $-4x + 6y + (x - 2y)$. Svar: {{input}},text,2,$-3x + 4y$,Nej
Förenkla: $8x + 3y - (5x - 6y)$. Svar: {{input}},text,2,$3x + 9y$,Nej
Förenkla: $3a + 4b + (2a + 5b)$. Svar: {{input}},text,2,$5a + 9b$,Nej
Förenkla: $-5x + 7y - (3x + 2y)$. Svar: {{input}},text,2,$-8x + 5y$,Nej
Förenkla: $6x - 2y + (-x + 4y)$. Svar: {{input}},text,2,$5x + 2y$,Nej
Förenkla: $a + 3b - (-5a + 2b)$. Svar: {{input}},text,2,$6a + b$,Nej
Förenkla: $2x + 3y + (4x + 5y)$. Svar: {{input}},text,2,$6x + 8y$,Nej
