Fråga,Frågetyp,Nivå,Svar,Miniräknare tillåten
Förenkla: $x - 6 + 2x - 6$. Svar: {{input}},text,1,$3x - 12$,Nej
Förenkla: $2x - 5 + 3x - 3$. Svar: {{input}},text,1,$5x - 8$,Nej
Förenkla: $3x - 4 + 4x + 0$. Svar: {{input}},text,1,$7x - 4$,Nej
Förenkla: $4x - 3 + 5x + 3$. Svar: {{input}},text,1,$9x$,Nej
Förenkla: $5x - 2 + 2x + 6$. Svar: {{input}},text,1,$7x + 4$,Nej
Förenkla: $x - 1 + 3x - 4$. Svar: {{input}},text,1,$4x - 5$,Nej
Förenkla: $2x + 0 + 4x - 1$. Svar: {{input}},text,1,$6x - 1$,Nej
Förenkla: $3x + 1 + 5x + 2$. Svar: {{input}},text,1,$8x + 3$,Nej
Förenkla: $4x + 2 + 2x + 5$. Svar: {{input}},text,1,$6x + 7$,Nej
Förenkla: $5x + 3 + 3x - 5$. Svar: {{input}},text,1,$8x - 2$,Nej
Förenkla: $x + 4 + 4x - 2$. Svar: {{input}},text,1,$5x + 2$,Nej
Förenkla: $2x + 5 + 5x + 1$. Svar: {{input}},text,1,$7x + 6$,Nej
Förenkla: $3x + 6 + 2x + 4$. Svar: {{input}},text,1,$5x + 10$,Nej
Förenkla: $4x - 6 + 3x - 6$. Svar: {{input}},text,1,$7x - 12$,Nej
Förenkla: $5x - 5 + 4x - 3$. Svar: {{input}},text,1,$9x - 8$,Nej
Förenkla: $x - 4 + 5x + 0$. Svar: {{input}},text,1,$6x - 4$,Nej
Förenkla: $2x - 3 + 2x + 3$. Svar: {{input}},text,1,$4x$,Nej
Förenkla: $3x - 2 + 3x + 6$. Svar: {{input}},text,1,$6x + 4$,Nej
Förenkla: $4x - 1 + 4x - 4$. Svar: {{input}},text,1,$8x - 5$,Nej
Förenkla: $5x + 0 + 5x - 1$. Svar: {{input}},text,1,$10x - 1$,Nej
Förenkla: $x + 1 + 2x + 2$. Svar: {{input}},text,1,$3x + 3$,Nej
Förenkla: $2x + 2 + 3x + 5$. Svar: {{input}},text,1,$5x + 7$,Nej
Förenkla: $3x + 3 + 4x - 5$. Svar: {{input}},text,1,$7x - 2$,Nej
Förenkla: $4x + 4 + 5x - 2$. Svar: {{input}},text,1,$9x + 2$,Nej
Förenkla: $5x + 5 + 2x + 1$. Svar: {{input}},text,1,$7x + 6$,Nej
Förenkla: $x + 6 + 3x + 4$. Svar: {{input}},text,1,$4x + 10$,Nej
Förenkla: $2x - 6 + 4x - 6$. Svar: {{input}},text,1,$6x - 12$,Nej
Förenkla: $3x - 5 + 5x - 3$. Svar: {{input}},text,1,$8x - 8$,Nej
Förenkla: $4x - 4 + 2x + 0$. Svar: {{input}},text,1,$6x - 4$,Nej
Förenkla: $5x - 3 + 3x + 3$. Svar: {{input}},text,1,$8x$,Nej
Förenkla: $x - 2 + 4x + 6$. Svar: {{input}},text,1,$5x + 4$,Nej
Förenkla: $2x - 1 + 5x - 4$. Svar: {{input}},text,1,$7x - 5$,Nej
Förenkla: $3x + 0 + 2x - 1$. Svar: {{input}},text,1,$5x - 1$,Nej
Förenkla: $4x + 1 + 3x + 2$. Svar: {{input}},text,1,$7x + 3$,Nej
Förenkla: $5x + 2 + 4x + 5$. Svar: {{input}},text,1,$9x + 7$,Nej
Förenkla: $x + 3 + 5x - 5$. Svar: {{input}},text,1,$6x - 2$,Nej
Förenkla: $2x + 4 + 2x - 2$. Svar: {{input}},text,1,$4x + 2$,Nej
