Fråga,Frågetyp,Nivå,Korrekta alternativ,Miniräknare tillåten,Alternativ 1,Alternativ 2,Alternativ 3,Alternativ 4,Alternativ 5
Vilka räta linjer är parallella med varandra?,multiple_choice,1,4;5,Nej,$y=-2x - 5$,$2x - 3y - 1 = 0$,$3x - 2y - 6 = 0$,$y=2x - 4$,$2x - y - 2 = 0$
Vilka räta linjer är parallella med varandra?,multiple_choice,1,1;4,Nej,$3x - y + 1 = 0$,$2x - 3y - 6 = 0$,$y=-3x - 4$,$y=3x - 2$,$3x - 2y + 3 = 0$
Vilka räta linjer är parallella med varandra?,multiple_choice,1,3;4,Nej,$y=-4x - 3$,$2x - 4y - 6 = 0$,$4x - y + 4 = 0$,$y=4x$,$4x - 2y + 7 = 0$
Vilka räta linjer är parallella med varandra?,multiple_choice,1,1;5,Nej,$5x - y + 7 = 0$,$5x - 2y + 11 = 0$,$y=-5x + 1$,$2x - 5y - 3 = 0$,$y=5x + 2$
Vilka räta linjer är parallella med varandra?,multiple_choice,1,1;5,Nej,$-2x - y + 6 = 0$,$-2x - 3y + 11 = 0$,$y=2x + 2$,$3x + 2y - 3 = 0$,$y=-2x + 4$
Vilka räta linjer är parallella med varandra?,multiple_choice,1,3;4,Nej,$2x + 3y - 7 = 0$,$-3x - 2y + 1 = 0$,$-3x - y = 0$,$y=-3x - 3$,$y=3x - 6$
Vilka räta linjer är parallella med varandra?,multiple_choice,1,1;4,Nej,$-4x - y + 3 = 0$,$-4x - 2y + 5 = 0$,$2x + 4y - 4 = 0$,$y=-4x - 1$,$y=4x - 2$
Vilka räta linjer är parallella med varandra?,multiple_choice,1,1;4,Nej,$-5x - y + 6 = 0$,$y=5x - 1$,$-5x - 2y + 9 = 0$,$y=-5x + 1$,$2x + 5y - 4 = 0$
Vilka räta linjer är parallella med varandra?,multiple_choice,1,1;4,Nej,$6x - y + 5 = 0$,$y=-6x$,$6x - 2y + 9 = 0$,$y=6x + 3$,$2x - 6y - 4 = 0$
Vilka räta linjer är parallella med varandra?,multiple_choice,1,4;5,Nej,$2x + 6y - 10 = 0$,$-6x - 2y + 4 = 0$,$y=6x - 5$,$y=-6x - 4$,$-6x - y - 1 = 0$
Vilka räta linjer är parallella med varandra?,multiple_choice,1,1;4,Nej,$2x - y + 2 = 0$,$3x - 2y - 5 = 0$,$y=-2x - 4$,$y=2x - 2$,$2x - 3y + 3 = 0$
Vilka räta linjer är parallella med varandra?,multiple_choice,1,1;4,Nej,$3x - y + 5 = 0$,$y=-3x - 3$,$2x - 3y - 5 = 0$,$y=3x$,$3x - 2y + 7 = 0$
Vilka räta linjer är parallella med varandra?,multiple_choice,1,3;5,Nej,$y=-4x + 1$,$4x - 2y + 7 = 0$,$4x - y + 4 = 0$,$2x - 4y - 2 = 0$,$y=4x + 2$
