Fråga,Frågetyp,Nivå,Svar,Miniräknare tillåten
Bestäm värdet av $2x - 5$ då $x=1$. Svar: {{input}},numeric_input,1,-3,Nej
Bestäm värdet av $-4 - 3x$ då $x=2$. Svar: {{input}},numeric_input,1,-10,Nej
Bestäm värdet av $2x - 3$ då $x=3$. Svar: {{input}},numeric_input,1,3,Nej
Bestäm värdet av $-2 - 3x$ då $x=4$. Svar: {{input}},numeric_input,1,-14,Nej
Bestäm värdet av $2x - 1$ då $x=5$. Svar: {{input}},numeric_input,1,9,Nej
Bestäm värdet av $0 - 3x$ då $x=1$. Svar: {{input}},numeric_input,1,-3,Nej
Bestäm värdet av $2x + 1$ då $x=2$. Svar: {{input}},numeric_input,1,5,Nej
Bestäm värdet av $2 - 3x$ då $x=3$. Svar: {{input}},numeric_input,1,-7,Nej
Bestäm värdet av $2x + 3$ då $x=4$. Svar: {{input}},numeric_input,1,11,Nej
Bestäm värdet av $4 - 3x$ då $x=5$. Svar: {{input}},numeric_input,1,-11,Nej
Bestäm värdet av $2x + 5$ då $x=1$. Svar: {{input}},numeric_input,1,7,Nej
Bestäm värdet av $-5 - 3x$ då $x=2$. Svar: {{input}},numeric_input,1,-11,Nej
Bestäm värdet av $2x - 4$ då $x=3$. Svar: {{input}},numeric_input,1,2,Nej
Bestäm värdet av $-3 - 3x$ då $x=4$. Svar: {{input}},numeric_input,1,-15,Nej
Bestäm värdet av $2x - 2$ då $x=5$. Svar: {{input}},numeric_input,1,8,Nej
Bestäm värdet av $-1 - 3x$ då $x=1$. Svar: {{input}},numeric_input,1,-4,Nej
Bestäm värdet av $2x + 0$ då $x=2$. Svar: {{input}},numeric_input,1,4,Nej
Bestäm värdet av $1 - 3x$ då $x=3$. Svar: {{input}},numeric_input,1,-8,Nej
Bestäm värdet av $2x + 2$ då $x=4$. Svar: {{input}},numeric_input,1,10,Nej
Bestäm värdet av $3 - 3x$ då $x=5$. Svar: {{input}},numeric_input,1,-12,Nej
Bestäm värdet av $2x + 4$ då $x=1$. Svar: {{input}},numeric_input,1,6,Nej
Bestäm värdet av $5 - 3x$ då $x=2$. Svar: {{input}},numeric_input,1,-1,Nej
Bestäm värdet av $2x - 5$ då $x=3$. Svar: {{input}},numeric_input,1,1,Nej
Bestäm värdet av $-4 - 3x$ då $x=4$. Svar: {{input}},numeric_input,1,-16,Nej
Bestäm värdet av $2x - 3$ då $x=5$. Svar: {{input}},numeric_input,1,7,Nej
Bestäm värdet av $-2 - 3x$ då $x=1$. Svar: {{input}},numeric_input,1,-5,Nej
Bestäm värdet av $2x - 1$ då $x=2$. Svar: {{input}},numeric_input,1,3,Nej
Bestäm värdet av $0 - 3x$ då $x=3$. Svar: {{input}},numeric_input,1,-9,Nej
Bestäm värdet av $2x + 1$ då $x=4$. Svar: {{input}},numeric_input,1,9,Nej
